OBJECTID,NAME,PMA,PARKSBND_AREA,SHAPE_Length,SHAPE_Area
1,12TH AVE SQUARE PARK,4467,7316.172948,342.909024595341,7316.14368341806
2,14TH AVENUE NW BOAT RAMP,4010,27888.351315,758.646958329287,27888.2397618104
3,17TH AVENUE NE CENTERSTRIP,4160,71950.878767,5902.22716085818,71950.5909663495
4,3001 E MADISON,296,14679.930267,578.56701125626,14679.8715478322
5,48TH AVE SW/SW CHARLESTOWN ST,4590,14467.911693,481.835245865783,14467.8538213485
6,6TH AVENUE NW POCKET PARK,3158,9006.612569,380.913393398784,9006.57654296454
7,8605 35TH AVE NE,654,13710.692277,470.291855160306,13710.6374345917
8,ALASKAN WAY BOULEVARD,4449,95870.357998,1973.94960515201,95869.9745160796
9,ALBERT DAVIS PARK,244,58459.982889,1218.10297149216,58459.7490490486
10,ALICE BALL PARK,4484,18698.81889,597.372429138483,18698.7440943719
11,ALKI BEACH PARK,445,5919768.153795,23763.7161464541,5919744.47474066
12,ALKI PLAYGROUND,446,197688.894591,1956.73264192268,197688.103834839
13,ALVIN LARKINS PARK,3914,28512.234511,717.052488605017,28512.1204620266
14,AMY YEE TENNIS CENTER,426,368391.302528,3613.42437263971,368389.828965199
15,ANDOVER PLACE,2927,8357.088812,681.706715133593,8357.0553837748
16,ARAPAHOE TRIANGLE,1556,1554.166985,201.886363927459,1554.16076844553
17,ARROYO HEIGHTS,485,157202.140195,2404.74207276334,157201.511386245
18,ARROYOS NATURAL AREA,485,150631.075443,3515.74900233715,150630.472919891
19,ATLANTIC CITY BOAT RAMP,4081,278166.660494,2271.83472604983,278165.547829584
20,ATLANTIC STREET PARK,4243,32080.563925,1086.20138897632,32080.4356029498
21,B.F. DAY PLAYGROUND,241,102835.917612,1314.31089188061,102835.50626906
22,BAGLEY VIEWPOINT,4006,6224.079938,353.048202771258,6224.05504219276
23,BAKER PARK ON CROWN HILL,2840,27625.632006,803.685627428149,27625.521503214
24,BALLARD COMMONS PARK,4278,59954.1216,999.60580368534,59953.8817849276
25,BALLARD CORNERS PARK,4428,10004.27147,500.10743440598,10004.2314535198
26,BALLARD PLAYGROUND,497,149391.977301,1755.58856691441,149391.379733445
27,BALLARD SWIMMING POOL,498,36497.723767,765.166868696326,36497.5777771082
28,BANNER WAY TRIANGLES,4073,9610.858802,671.186210373187,9610.82035935914
