pmaid,name,feature_desc,hours,xpos,ypos,Location
307,Green Lake Park,Golf,24 Hours,-122.330394,47.678938,"(47.678938, -122.330394)"
4468,Kirke Park,Play Area (ADA Compliant),4 a.m. - 11:30 p.m.,,,
310,Discovery Park,Basketball (Full),"<b>Park Hours:</b> Daily 4 a.m. - 11:30 p.m.<br>
<b>Visitor Center Hours:</b> Tuesday-Sunday
8:30 a.m. - 5 p.m.<br>
<i>Closed holidays</i>",-122.415282,47.66083,"(47.66083, -122.415282)"
3023,Interlaken Park,Bike Trail,4 a.m. - 11:30 p.m.,-122.308316,47.636257,"(47.636257, -122.308316)"
367,Leschi Park,Play Area,4 a.m. - 11:30 p.m.,-122.286548,47.600931,"(47.600931, -122.286548)"
2840,Baker Park on Crown Hill,Paths,4 a.m. - 11:30 p.m.,-122.374794,47.690119,"(47.690119, -122.374794)"
307,Green Lake Park,Waterfront,24 Hours,-122.330394,47.678938,"(47.678938, -122.330394)"
4421,Trolley Hill Park,P-Patch Community Garden,4 a.m. - 11:30 p.m.,-122.347039,47.635143,"(47.635143, -122.347039)"
1100393,Washington Park Playfield,Soccer,4 a.m. - 11:30 p.m.,-122.293925,47.627064,"(47.627064, -122.293925)"
391,Ravenna Park,Play Area (ADA Compliant),4 a.m. - 11:30 p.m.,-122.305705,47.671404,"(47.671404, -122.305705)"
421,Chinook Beach Park,View,4 a.m. - 11:30 p.m.,-122.258376,47.520135,"(47.520135, -122.258376)"
2848,St. Mark's Greenbelt,Woods,4 a.m. - 11:30 p.m.,-122.322174,47.63115,"(47.63115, -122.322174)"
461,Lowman Beach Park,Waterfront,4 a.m. - 11:30 p.m.,-122.396728,47.540367,"(47.540367, -122.396728)"
412,Lake Washington Boulevard,Waterfront,24 Hours,-122.28347,47.606365,"(47.606365, -122.28347)"
370,Madrona Park,Paths,4 a.m. - 11:30 p.m.,-122.282679,47.609299,"(47.609299, -122.282679)"
4415,Belltown Cottage Park,Historic Landmark,4 a.m. - 11:30 p.m.,-122.350776,47.613889,"(47.613889, -122.350776)"
4426,Homer Harris Park,View,4 a.m. - 11:30 p.m.,-122.300994,47.617309,"(47.617309, -122.300994)"
433,Dr. Jose Rizal Park,Play Area (ADA Compliant),4 a.m. - 11:30 p.m.,-122.318094,47.593859,"(47.593859, -122.318094)"
465,Schmitz Preserve Park,Creek,6 a.m. - 10 p.m.,-122.400425,47.574375,"(47.574375, -122.400425)"
401,Bradner Gardens Park,Garden,4 a.m. - 11:30 p.m.,-122.295426,47.587419,"(47.587419, -122.295426)"
3889,Terry Pettus Park,Boat Launch (Hand Carry),4 a.m. - 11:30 p.m.,-122.329689,47.636742,"(47.636742, -122.329689)"
4456,Hubbard Homestead,Adult Fitness Equipment,4 a.m. - 11:30 p.m.,,,
295,Cormorant Cove,Boat Launch (Hand Carry),4 a.m. - 11:30 p.m.,-122.412089,47.570984,"(47.570984, -122.412089)"
398,Warren G. Magnuson Park,Guarded Beach,4 a.m. - 11:30 p.m.,-122.255084,47.680304,"(47.680304, -122.255084)"
310,Discovery Park,Restrooms (ADA Compliant),"<b>Park Hours:</b> Daily 4 a.m. - 11:30 p.m.<br>
<b>Visitor Center Hours:</b> Tuesday-Sunday
8:30 a.m. - 5 p.m.<br>
<i>Closed holidays</i>",-122.415282,47.66083,"(47.66083, -122.415282)"
3102,Cal Anderson Park and Bobby Morris Playfield,Wading Pool or Water Feature,4 a.m. - 11:30 p.m.,-122.319134,47.617013,"(47.617013, -122.319134)"
4154,Camp Long,Restrooms (ADA Compliant),"<b>Tuesday - Sunday</b> 10 a.m. - 6 p.m. <BR>
(December-February: Closed on Sundays)",-122.373161,47.556242,"(47.556242, -122.373161)"
4469,Crown Hill Park,Paths,4 a.m. - 11:30 p.m.,,,
419,Mt. Baker Park,Tennis Lights,6 a.m. - 10 p.m.,-122.288481,47.580957,"(47.580957, -122.288481)"
428,Seward Park,Restrooms (ADA Compliant),6 a.m. - 10 p.m.,-122.250639,47.54923,"(47.54923, -122.250639)"
2975,Fairview Park,P-Patch Community Garden,4 a.m. - 11:30 p.m.,-122.325368,47.647413,"(47.647413, -122.325368)"
425,Stan Sayres Memorial Park,Waterfront,"<p><strong>6:00 a.m. to 10:00 p.m. </strong><br>
  Gates locked between 10:00 p.m. and 6 a.m. <br>
  With overnight parking pass vehicles with boat trailers may  remain in the parking lot after closing with a four night maximum.</p>",-122.277162,47.571222,"(47.571222, -122.277162)"
308,Commodore Park,Paths,4 a.m. - 11:30 p.m.,-122.40014,47.66538,"(47.66538, -122.40014)"
1000292,Woodland Park Rose Garden,Garden,7 a.m. - 10 p.m.,,,
3973,Waterfront Park,View,6 a.m. - 10 p.m.,-122.342196,47.606778,"(47.606778, -122.342196)"
4165,Washington Street Public Boat Landing,Waterfront,6 a.m. - 10 p.m.,,,
397,Judkins Park and Playfield,Picnic Sites,4 a.m. - 11:30 p.m.,-122.303951,47.592425,"(47.592425, -122.303951)"
361,Northacres Park,Woods,6 a.m. - 10 p.m.,-122.326124,47.721775,"(47.721775, -122.326124)"
240,Carkeek Park,Play Area (ADA Compliant),"<b>Park Hours:</b> 6 a.m.-10 p.m.<BR>
<b>Environmental Learning Center Hours:</b> Weekdays 10 a.m. - 4 p.m.",-122.379763,47.712194,"(47.712194, -122.379763)"
291,Mineral Springs Park,Disc Golf,4 a.m. - 10 p.m.,-122.336528,47.705755,"(47.705755, -122.336528)"
4450,Bitter Lake Reservoir Open Space,P-Patch Community Garden,4 a.m. - 11:30 p.m.,-122.348583,47.731181,"(47.731181, -122.348583)"
286,Licton Springs Park,Play Area (ADA Compliant),4 a.m. - 11:30 p.m.,-122.338735,47.698542,"(47.698542, -122.338735)"
297,Little Brook Park,Restrooms,4 a.m. - 11:30 p.m.,-122.294567,47.731387,"(47.731387, -122.294567)"
390,Pratt Park,Play Area (ADA Compliant),6 a.m. - 10 p.m.,-122.307257,47.601407,"(47.601407, -122.307257)"
4158,Puget Boulevard Commons,P-Patch Community Garden,4 a.m. - 11:30 p.m.,,,
1000292,Woodland Park Rose Garden,Weddings and Ceremonies,7 a.m. - 10 p.m.,,,
290,Sturtevant Ravine,Green Space,4 a.m. - 11:30 p.m.,-122.268561,47.51783,"(47.51783, -122.268561)"
4167,Cedar Park,Paths (ADA Compliant),4 a.m. - 11:30 p.m.,-122.288042,47.725808,"(47.725808, -122.288042)"
307,Green Lake Park,Restrooms,24 Hours,-122.330394,47.678938,"(47.678938, -122.330394)"
398,Warren G. Magnuson Park,Baseball/Softball,4 a.m. - 11:30 p.m.,-122.255084,47.680304,"(47.680304, -122.255084)"
494,Westlake Greenbelt,Green Space,4 a.m. - 11:30 p.m.,-122.34338,47.641586,"(47.641586, -122.34338)"
4154,Camp Long,Paths (ADA Compliant),"<b>Tuesday - Sunday</b> 10 a.m. - 6 p.m. <BR>
(December-February: Closed on Sundays)",-122.373161,47.556242,"(47.556242, -122.373161)"
1000003,Eddie Vine Boat Ramp,Fishing,24 Hours,-122.403454,47.686852,"(47.686852, -122.403454)"
310,Discovery Park,Paths (ADA Compliant),"<b>Park Hours:</b> Daily 4 a.m. - 11:30 p.m.<br>
<b>Visitor Center Hours:</b> Tuesday-Sunday
8:30 a.m. - 5 p.m.<br>
<i>Closed holidays</i>",-122.415282,47.66083,"(47.66083, -122.415282)"
447,Belvedere Park,Weddings and Ceremonies,4 a.m. - 11:30 p.m.,-122.376896,47.580673,"(47.580673, -122.376896)"
367,Leschi Park,Paths,4 a.m. - 11:30 p.m.,-122.286548,47.600931,"(47.600931, -122.286548)"
114,Jefferson Park,Play Area (ADA Compliant),4 a.m. - 11:30 p.m.,-122.311441,47.568067,"(47.568067, -122.311441)"
370,Madrona Park,Play Area,4 a.m. - 11:30 p.m.,-122.282679,47.609299,"(47.609299, -122.282679)"
592,Sturgus Park,View,4 a.m. - 11:30 p.m.,-122.314376,47.59409,"(47.59409, -122.314376)"
2927,Andover Place,View,4 a.m. - 11:30 p.m.,-122.409993,47.568517,"(47.568517, -122.409993)"
247,North Beach Park,Creek,4 a.m. - 11:30 p.m.,-122.390258,47.69471,"(47.69471, -122.390258)"
428,Seward Park,Paths (ADA Compliant),6 a.m. - 10 p.m.,-122.250639,47.54923,"(47.54923, -122.250639)"
395,Dr. Blanche Lavizzo Park,Restrooms,6 a.m. - 10 p.m.,-122.304179,47.600278,"(47.600278, -122.304179)"
483,Cowen Park,Paths,4 a.m. - 11:30 p.m.,-122.313072,47.672596,"(47.672596, -122.313072)"
398,Warren G. Magnuson Park,Play Area (ADA Compliant),4 a.m. - 11:30 p.m.,-122.255084,47.680304,"(47.680304, -122.255084)"
3972,Lakeridge Playfield,Restrooms (ADA Compliant),4 a.m. - 11:30 p.m.,-122.246841,47.510319,"(47.510319, -122.246841)"
357,Prentis I. Frazier Park,Basketball (Half),6 a.m. - 10 p.m.,-122.301614,47.622895,"(47.622895, -122.301614)"
1000399,Volunteer Park Conservatory,Weddings and Ceremonies,,-122.315708,47.632063,"(47.632063, -122.315708)"
2975,Fairview Park,Boat Launch (Hand Carry),4 a.m. - 11:30 p.m.,-122.325368,47.647413,"(47.647413, -122.325368)"
763,Ward Springs Park,Rental Facility,4 a.m. - 11:30 p.m.,-122.349245,47.627747,"(47.627747, -122.349245)"
4450,Bitter Lake Reservoir Open Space,Adult Fitness Equipment,4 a.m. - 11:30 p.m.,-122.348583,47.731181,"(47.731181, -122.348583)"
279,Northeast Queen Anne Greenbelt,Hiking Trails,4 a.m. - 11:30 p.m.,-122.345011,47.635866,"(47.635866, -122.345011)"
399,Volunteer Park,Play Area (ADA Compliant),6 a.m. - 10 p.m.,-122.315568,47.630378,"(47.630378, -122.315568)"
4161,Northwest 60th St. Viewpoint,View,4 a.m. - 11:30 p.m.,-122.40656,47.672184,"(47.672184, -122.40656)"
1000399,Volunteer Park Conservatory,Garden,,-122.315708,47.632063,"(47.632063, -122.315708)"
344,Lake Union Park,Paths,4 a.m. - 11:30 p.m.,-122.338848,47.627015,"(47.627015, -122.338848)"
393,Washington Park Arboretum,Hiking Trails,4 a.m. - 11:30 p.m.,-122.294835,47.636477,"(47.636477, -122.294835)"
311,Myrtle Edwards Park,Paths (ADA Compliant),24 Hours,-122.36087,47.618767,"(47.618767, -122.36087)"
4159,12th Ave S Viewpoint,View,6 a.m. - 10 p.m.,-122.317765,47.577953,"(47.577953, -122.317765)"
3972,Lakeridge Playfield,Basketball (Full),4 a.m. - 11:30 p.m.,-122.246841,47.510319,"(47.510319, -122.246841)"
4445,Northgate Park,Pesticide Free,4 a.m. - 11:30 p.m.,-122.322424,47.705194,"(47.705194, -122.322424)"
391,Ravenna Park,Creek,4 a.m. - 11:30 p.m.,-122.305705,47.671404,"(47.671404, -122.305705)"
397,Judkins Park and Playfield,Decorative Fountain,4 a.m. - 11:30 p.m.,-122.303951,47.592425,"(47.592425, -122.303951)"
419,Mt. Baker Park,View,6 a.m. - 10 p.m.,-122.288481,47.580957,"(47.580957, -122.288481)"
4157,Greg Davis Park,Paths,4 a.m. - 11:30 p.m.,-122.366001,47.55437,"(47.55437, -122.366001)"
432,Martha Washington Park,Paths,6 a.m. - 10 p.m.,-122.260054,47.542398,"(47.542398, -122.260054)"
419,Mt. Baker Park,Tennis Court (Outdoor),6 a.m. - 10 p.m.,-122.288481,47.580957,"(47.580957, -122.288481)"
312,Freeway Park - Jim Ellis Freeway Park,Decorative Fountain,6 a.m. - 10 p.m.,-122.330904,47.609472,"(47.609472, -122.330904)"
3122,Katie Black's Garden,Paths,4 a.m. - 11:30 p.m.,-122.317642,47.590421,"(47.590421, -122.317642)"
292,Woodland Park,Horseshoe Pits,4 a.m. - 11:30 p.m.,-122.344218,47.668906,"(47.668906, -122.344218)"
4153,Jefferson Park Golf Course,Golf,4 a.m. - 11:30 p.m.,-122.305242,47.567202,"(47.567202, -122.305242)"
114,Jefferson Park,Baseball/Softball,4 a.m. - 11:30 p.m.,-122.311441,47.568067,"(47.568067, -122.311441)"
485,Arroyos Natural Area,Woods,4 a.m. - 11:30 p.m.,-122.387822,47.505679,"(47.505679, -122.387822)"
4416,Oxbow Park,P-Patch Community Garden,4 a.m. - 11:30 p.m.,-122.321583,47.54499,"(47.54499, -122.321583)"
4040,Lakewood Moorage,Waterfront,"<b>Tuesday thru Saturday</b><br> 11 a.m. - 5 p.m.<br>
24-hour security gate with tenant access<br> 
(Summer hours 10 a.m. - 5 p.m. Memorial Day thru Labor Day)",,,
347,Matthews Beach Park,Picnic Sites,6 a.m. - 10 p.m.,-122.271785,47.694564,"(47.694564, -122.271785)"
4081,Atlantic City Boat Ramp,Waterfront,24 Hours,-122.263078,47.522834,"(47.522834, -122.263078)"
375,West Montlake Park,Pesticide Free,4 a.m. - 11:30 p.m.,-122.30982,47.646219,"(47.646219, -122.30982)"
321,Mayfair Park,Pesticide Free,4 a.m. - 11:30 p.m.,-122.353356,47.643241,"(47.643241, -122.353356)"
326,Prefontaine Place,Decorative Fountain,6 a.m. - 10 p.m.,-122.330883,47.601844,"(47.601844, -122.330883)"
301,Llandover Woods Greenspace,Green Space,4 a.m. - 11:30 p.m.,-122.364545,47.733024,"(47.733024, -122.364545)"
488,Ravenna-Eckstein Park,Tennis Court (Outdoor),4 a.m. - 11:30 p.m.,-122.304964,47.676873,"(47.676873, -122.304964)"
362,Boren Park,Weddings and Ceremonies,4 a.m. - 11:30 p.m.,-122.311628,47.635274,"(47.635274, -122.311628)"
391,Ravenna Park,Baseball/Softball,4 a.m. - 11:30 p.m.,-122.305705,47.671404,"(47.671404, -122.305705)"
3694,West Ewing Mini Park,View,4 a.m. - 11:30 p.m.,-122.360602,47.65205,"(47.65205, -122.360602)"
393,Washington Park Arboretum,Boat Launch (Hand Carry),4 a.m. - 11:30 p.m.,-122.294835,47.636477,"(47.636477, -122.294835)"
361,Northacres Park,Restrooms,6 a.m. - 10 p.m.,-122.326124,47.721775,"(47.721775, -122.326124)"
240,Carkeek Park,Creek,"<b>Park Hours:</b> 6 a.m.-10 p.m.<BR>
<b>Environmental Learning Center Hours:</b> Weekdays 10 a.m. - 4 p.m.",-122.379763,47.712194,"(47.712194, -122.379763)"
314,Kinnear Park,Woods,6 a.m. - 10 p.m.,-122.367207,47.627317,"(47.627317, -122.367207)"
445,Alki Beach Park,Boat Launch (Hand Carry),4 a.m.-11:30 p.m.,-122.402173,47.582912,"(47.582912, -122.402173)"
4418,Blue Dog Pond,Dog Off Leash Area,4 a.m. - 11:30 p.m.,-122.297814,47.589982,"(47.589982, -122.297814)"
4469,Crown Hill Park,Skatepark,4 a.m. - 11:30 p.m.,,,
429,"John C. Little, Sr. Park",Wading Pool or Water Feature,6 a.m. - 10 p.m.,-122.286686,47.539048,"(47.539048, -122.286686)"
316,Lawton Park,Play Area,4 a.m. - 11:30 p.m.,-122.391158,47.655065,"(47.655065, -122.391158)"
460,Lincoln Park,Paths,4 a.m. - 11:30 p.m.,-122.396012,47.531176,"(47.531176, -122.396012)"
307,Green Lake Park,Woods,24 Hours,-122.330394,47.678938,"(47.678938, -122.330394)"
4424,Fremont Peak Park,View,4 a.m. - 11:30 p.m.,-122.356671,47.661108,"(47.661108, -122.356671)"
705,Duwamish Waterway Park,Waterfront,4 a.m. - 11:30 p.m.,-122.319694,47.531156,"(47.531156, -122.319694)"
293,Gas Works Park,Restrooms (ADA Compliant),6 a.m. - 10 p.m.,-122.334906,47.645639,"(47.645639, -122.334906)"
3915,Kobe Terrace,Paths,6 a.m. - 10 p.m.,-122.324494,47.60042,"(47.60042, -122.324494)"
252,Sunset Hill Park,View,4 a.m. - 11:30 p.m.,-122.400938,47.684034,"(47.684034, -122.400938)"
307,Green Lake Park,Fishing,24 Hours,-122.330394,47.678938,"(47.678938, -122.330394)"
419,Mt. Baker Park,Hiking Trails,6 a.m. - 10 p.m.,-122.288481,47.580957,"(47.580957, -122.288481)"
4419,Linden Orchard Park,Play Area,4 a.m. - 11:30 p.m.,-122.347727,47.678016,"(47.678016, -122.347727)"
370,Madrona Park,Weddings and Ceremonies,4 a.m. - 11:30 p.m.,-122.282679,47.609299,"(47.609299, -122.282679)"
1000001,32nd Ave W Boat Launch,Boat Launch (Hand Carry),4 a.m. - 11:30 p.m.,,,
361,Northacres Park,Baseball/Softball,6 a.m. - 10 p.m.,-122.326124,47.721775,"(47.721775, -122.326124)"
4045,Rainbow Point,Paths,4 a.m. - 11:30 p.m.,-122.320476,47.682713,"(47.682713, -122.320476)"
43,Horiuchi Park,View,4 a.m. - 11:30 p.m.,-122.318982,47.603132,"(47.603132, -122.318982)"
3917,Don Armeni Park,Waterfront,4 a.m. - 11:30 p.m. except for vehicles with boats trailers and permits,-122.382295,47.59274,"(47.59274, -122.382295)"
412,Lake Washington Boulevard,Fishing,24 Hours,-122.28347,47.606365,"(47.606365, -122.28347)"
343,Thorndyke Park,Waterfront,4 a.m. - 11:30 p.m.,-122.390161,47.635099,"(47.635099, -122.390161)"
466,Seola Park,Green Space,4 a.m. - 11:30 p.m.,-122.374332,47.50039,"(47.50039, -122.374332)"
408,Dearborn Park,Paths,4 a.m. - 11:30 p.m.,-122.296225,47.553389,"(47.553389, -122.296225)"
429,"John C. Little, Sr. Park",Basketball (Full),6 a.m. - 10 p.m.,-122.286686,47.539048,"(47.539048, -122.286686)"
4469,Crown Hill Park,Play Area (ADA Compliant),4 a.m. - 11:30 p.m.,,,
359,Howell Park,View,4 a.m. - 11:30 p.m.,-122.280313,47.617518,"(47.617518, -122.280313)"
4468,Kirke Park,P-Patch Community Garden,4 a.m. - 11:30 p.m.,,,
433,Dr. Jose Rizal Park,Restrooms,4 a.m. - 11:30 p.m.,-122.318094,47.593859,"(47.593859, -122.318094)"
3005,Open Water Park,Waterfront,4 a.m. - 11:30 p.m.,-122.386693,47.629555,"(47.629555, -122.386693)"
465,Schmitz Preserve Park,Woods,6 a.m. - 10 p.m.,-122.400425,47.574375,"(47.574375, -122.400425)"
397,Judkins Park and Playfield,Football,4 a.m. - 11:30 p.m.,-122.303951,47.592425,"(47.592425, -122.303951)"
397,Judkins Park and Playfield,Paths,4 a.m. - 11:30 p.m.,-122.303951,47.592425,"(47.592425, -122.303951)"
317,Magnolia Park,Woods,4 a.m. - 11:30 p.m.,-122.398993,47.632366,"(47.632366, -122.398993)"
240,Carkeek Park,Waterfront,"<b>Park Hours:</b> 6 a.m.-10 p.m.<BR>
<b>Environmental Learning Center Hours:</b> Weekdays 10 a.m. - 4 p.m.",-122.379763,47.712194,"(47.712194, -122.379763)"
300,Orchard Street Ravine,Green Space,4 a.m. - 11:30 p.m.,-122.380151,47.538315,"(47.538315, -122.380151)"
462,Puget Park,Creek,4 a.m. - 11:30 p.m.,-122.356922,47.558473,"(47.558473, -122.356922)"
114,Jefferson Park,Tennis Lights,4 a.m. - 11:30 p.m.,-122.311441,47.568067,"(47.568067, -122.311441)"
347,Matthews Beach Park,Restrooms (ADA Compliant),6 a.m. - 10 p.m.,-122.271785,47.694564,"(47.694564, -122.271785)"
3909,Tilikum Place,Decorative Fountain,6 a.m. - 10 p.m.,-122.347411,47.618382,"(47.618382, -122.347411)"
2848,St. Mark's Greenbelt,Creek,4 a.m. - 11:30 p.m.,-122.322174,47.63115,"(47.63115, -122.322174)"
390,Pratt Park,Basketball (Half),6 a.m. - 10 p.m.,-122.307257,47.601407,"(47.601407, -122.307257)"
364,International Children's Park,Play Area (ADA Compliant),6 a.m. - 10 p.m.,-122.323412,47.596897,"(47.596897, -122.323412)"
4011,Fremont Canal Park,View,4 a.m. - 11:30 p.m.,-122.357864,47.651802,"(47.651802, -122.357864)"
455,Seacrest Park,Marination Ma Kai,4 a.m. - 11:30 p.m.,-122.381226,47.589941,"(47.589941, -122.381226)"
393,Washington Park Arboretum,View,4 a.m. - 11:30 p.m.,-122.294835,47.636477,"(47.636477, -122.294835)"
391,Ravenna Park,Restrooms,4 a.m. - 11:30 p.m.,-122.305705,47.671404,"(47.671404, -122.305705)"
4022,Bellevue Place,Paths (ADA Compliant),4 a.m. - 11:30 p.m.,-122.327658,47.626904,"(47.626904, -122.327658)"
405,Colman Park,Weddings and Ceremonies,6 a.m. - 10 p.m.,-122.288612,47.58547,"(47.58547, -122.288612)"
311,Myrtle Edwards Park,Bike Trail,24 Hours,-122.36087,47.618767,"(47.618767, -122.36087)"
425,Stan Sayres Memorial Park,Fishing,"<p><strong>6:00 a.m. to 10:00 p.m. </strong><br>
  Gates locked between 10:00 p.m. and 6 a.m. <br>
  With overnight parking pass vehicles with boat trailers may  remain in the parking lot after closing with a four night maximum.</p>",-122.277162,47.571222,"(47.571222, -122.277162)"
445,Alki Beach Park,View,4 a.m.-11:30 p.m.,-122.402173,47.582912,"(47.582912, -122.402173)"
4012,Eastmont Place,View,4 a.m. - 11:30 p.m.,-122.405566,47.637689,"(47.637689, -122.405566)"
468,Westcrest Park,Picnic Sites,6 a.m. - 10 p.m.,-122.341719,47.525783,"(47.525783, -122.341719)"
